location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Aruba,2020-03-13,2,0,18.733,0.0
Aruba,2020-03-20,4,0,37.465,0.0
Aruba,2020-03-24,12,0,112.395,0.0
Aruba,2020-03-25,17,0,159.227,0.0
Aruba,2020-03-26,19,0,177.959,0.0
Aruba,2020-03-27,28,0,262.256,0.0
Aruba,2020-03-28,28,0,262.256,0.0
Aruba,2020-03-29,28,0,262.256,0.0
Aruba,2020-03-30,50,0,468.314,0.0
Aruba,2020-04-01,55,0,515.145,0.0
Aruba,2020-04-02,55,0,515.145,0.0
Aruba,2020-04-03,60,0,561.977,0.0
Aruba,2020-04-04,62,0,580.7090000000001,0.0
Aruba,2020-04-05,64,0,599.442,0.0
Aruba,2020-04-06,64,0,599.442,0.0
Aruba,2020-04-07,71,0,665.0060000000001,0.0
Aruba,2020-04-08,74,0,693.105,0.0
Aruba,2020-04-09,77,0,721.203,0.0
Aruba,2020-04-10,82,0,768.035,0.0
Aruba,2020-04-11,86,0,805.5,0.0
Aruba,2020-04-12,92,0,861.698,0.0
Aruba,2020-04-13,92,0,861.698,0.0
Aruba,2020-04-14,92,0,861.698,0.0
Aruba,2020-04-15,92,0,861.698,0.0
Aruba,2020-04-16,93,1,871.064,9.366
Aruba,2020-04-17,95,1,889.796,9.366
Aruba,2020-04-18,96,2,899.163,18.733
Aruba,2020-04-19,96,2,899.163,18.733
Aruba,2020-04-20,97,2,908.529,18.733
Aruba,2020-04-21,97,2,908.529,18.733
Aruba,2020-04-22,97,2,908.529,18.733
Aruba,2020-04-23,100,2,936.628,18.733
Aruba,2020-04-24,100,2,936.628,18.733
Aruba,2020-04-25,100,2,936.628,18.733
Aruba,2020-04-26,100,2,936.628,18.733
Aruba,2020-04-27,100,2,936.628,18.733
Aruba,2020-04-28,100,2,936.628,18.733
Aruba,2020-04-29,100,2,936.628,18.733
Aruba,2020-04-30,100,2,936.628,18.733
Aruba,2020-05-01,100,2,936.628,18.733
Aruba,2020-05-02,100,2,936.628,18.733
Aruba,2020-05-03,100,2,936.628,18.733
Aruba,2020-05-04,100,2,936.628,18.733
Afghanistan,2019-12-31,0,0,0.0,0.0
Afghanistan,2020-01-01,0,0,0.0,0.0
Afghanistan,2020-01-02,0,0,0.0,0.0
Afghanistan,2020-01-03,0,0,0.0,0.0
Afghanistan,2020-01-04,0,0,0.0,0.0
Afghanistan,2020-01-05,0,0,0.0,0.0
