location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Germany,2019-12-31,0,0,0.0,0.0
Germany,2020-01-01,0,0,0.0,0.0
Germany,2020-01-02,0,0,0.0,0.0
Germany,2020-01-03,0,0,0.0,0.0
Germany,2020-01-04,0,0,0.0,0.0
Germany,2020-01-05,0,0,0.0,0.0
Germany,2020-01-06,0,0,0.0,0.0
Germany,2020-01-07,0,0,0.0,0.0
Germany,2020-01-08,0,0,0.0,0.0
Germany,2020-01-09,0,0,0.0,0.0
Germany,2020-01-10,0,0,0.0,0.0
Germany,2020-01-11,0,0,0.0,0.0
Germany,2020-01-12,0,0,0.0,0.0
Germany,2020-01-13,0,0,0.0,0.0
Germany,2020-01-14,0,0,0.0,0.0
Germany,2020-01-15,0,0,0.0,0.0
Germany,2020-01-16,0,0,0.0,0.0
Germany,2020-01-17,0,0,0.0,0.0
Germany,2020-01-18,0,0,0.0,0.0
Germany,2020-01-19,0,0,0.0,0.0
Germany,2020-01-20,0,0,0.0,0.0
Germany,2020-01-21,0,0,0.0,0.0
Germany,2020-01-22,0,0,0.0,0.0
Germany,2020-01-23,0,0,0.0,0.0
Germany,2020-01-24,0,0,0.0,0.0
Germany,2020-01-25,0,0,0.0,0.0
Germany,2020-01-26,0,0,0.0,0.0
Germany,2020-01-27,0,0,0.0,0.0
Germany,2020-01-28,1,0,0.012,0.0
Germany,2020-01-29,4,0,0.048,0.0
Germany,2020-01-30,4,0,0.048,0.0
Germany,2020-01-31,5,0,0.06,0.0
Germany,2020-02-01,7,0,0.084,0.0
Germany,2020-02-02,8,0,0.095,0.0
Germany,2020-02-03,9,0,0.107,0.0
Germany,2020-02-04,11,0,0.131,0.0
Germany,2020-02-05,11,0,0.131,0.0
Germany,2020-02-06,11,0,0.131,0.0
Germany,2020-02-07,12,0,0.14300000000000002,0.0
Germany,2020-02-08,13,0,0.155,0.0
Germany,2020-02-09,13,0,0.155,0.0
Germany,2020-02-10,13,0,0.155,0.0
Germany,2020-02-11,13,0,0.155,0.0
Germany,2020-02-12,15,0,0.179,0.0
Germany,2020-02-13,15,0,0.179,0.0
Germany,2020-02-14,15,0,0.179,0.0
Germany,2020-02-15,15,0,0.179,0.0
Germany,2020-02-16,15,0,0.179,0.0
Germany,2020-02-17,15,0,0.179,0.0
Germany,2020-02-18,15,0,0.179,0.0
Germany,2020-02-19,15,0,0.179,0.0
Germany,2020-02-20,15,0,0.179,0.0
Germany,2020-02-21,15,0,0.179,0.0
Germany,2020-02-22,15,0,0.179,0.0
Germany,2020-02-23,15,0,0.179,0.0
Germany,2020-02-24,15,0,0.179,0.0
Germany,2020-02-25,15,0,0.179,0.0
Germany,2020-02-26,17,0,0.203,0.0
Germany,2020-02-27,21,0,0.251,0.0
Germany,2020-02-28,47,0,0.561,0.0
Germany,2020-02-29,57,0,0.68,0.0
Germany,2020-03-01,111,0,1.325,0.0
Germany,2020-03-02,129,0,1.54,0.0
Germany,2020-03-03,157,0,1.874,0.0
Germany,2020-03-04,196,0,2.339,0.0
Germany,2020-03-05,262,0,3.127,0.0
Germany,2020-03-06,400,0,4.774,0.0
Germany,2020-03-07,684,0,8.164,0.0
Germany,2020-03-08,847,0,10.109,0.0
Germany,2020-03-09,902,0,10.765999999999998,0.0
Germany,2020-03-10,1139,2,13.594000000000001,0.024
Germany,2020-03-11,1296,2,15.468,0.024
Germany,2020-03-12,1567,3,18.703,0.036000000000000004
Germany,2020-03-13,2369,5,28.275,0.06
Germany,2020-03-14,3062,5,36.546,0.06
Germany,2020-03-15,3795,8,45.295,0.095
Germany,2020-03-16,4838,12,57.744,0.14300000000000002
Germany,2020-03-17,6012,13,71.756,0.155
Germany,2020-03-18,7156,13,85.41,0.155
Germany,2020-03-19,8198,13,97.84700000000001,0.155
Germany,2020-03-20,14138,43,168.74400000000003,0.513
Germany,2020-03-21,18187,45,217.07,0.537
Germany,2020-03-22,21463,67,256.171,0.8
Germany,2020-03-23,24774,94,295.689,1.122
Germany,2020-03-24,29212,126,348.659,1.504
Germany,2020-03-25,31554,149,376.61199999999997,1.778
Germany,2020-03-26,36508,198,435.74,2.363
Germany,2020-03-27,42288,253,504.727,3.02
Germany,2020-03-28,48582,325,579.849,3.8789999999999996
Germany,2020-03-29,52547,389,627.173,4.643
Germany,2020-03-30,57298,455,683.878,5.431
Germany,2020-03-31,61913,583,738.96,6.957999999999999
Germany,2020-04-01,67366,732,804.044,8.737
Germany,2020-04-02,73522,872,877.5189999999999,10.408
Germany,2020-04-03,79696,1017,951.2080000000001,12.138
Germany,2020-04-04,85778,1158,1023.8,13.821
Germany,2020-04-05,91714,1342,1094.649,16.017
Germany,2020-04-06,95391,1434,1138.536,17.115
Germany,2020-04-07,99225,1607,1184.296,19.18
Germany,2020-04-08,103228,1861,1232.0739999999998,22.212
Germany,2020-04-09,108202,2107,1291.441,25.148000000000003
Germany,2020-04-10,113525,2373,1354.973,28.323
Germany,2020-04-11,117658,2544,1404.3020000000001,30.364
Germany,2020-04-12,120479,2673,1437.9720000000002,31.903000000000002
Germany,2020-04-13,123016,2799,1468.253,33.407
Germany,2020-04-14,125098,2969,1493.102,35.436
Germany,2020-04-15,127584,3254,1522.774,38.838
Germany,2020-04-16,130450,3569,1556.981,42.598
Germany,2020-04-17,133830,3868,1597.3229999999999,46.166000000000004
Germany,2020-04-18,137439,4110,1640.398,49.055
Germany,2020-04-19,139897,4294,1669.735,51.251000000000005
Germany,2020-04-20,141672,4404,1690.921,52.56399999999999
Germany,2020-04-21,143457,4598,1712.225,54.879
Germany,2020-04-22,145694,4879,1738.925,58.233000000000004
Germany,2020-04-23,148046,5094,1766.997,60.799
Germany,2020-04-24,150383,5321,1794.89,63.50899999999999
Germany,2020-04-25,152438,5500,1819.418,65.645
Germany,2020-04-26,154175,5640,1840.15,67.316
Germany,2020-04-27,155193,5750,1852.3,68.62899999999999
Germany,2020-04-28,156337,5913,1865.954,70.574
Germany,2020-04-29,157641,6115,1881.5179999999998,72.985
Germany,2020-04-30,159119,6288,1899.1589999999999,75.05
Germany,2020-05-01,159119,6288,1899.1589999999999,75.05
Germany,2020-05-02,161703,6575,1930.0,78.476
Germany,2020-05-03,162496,6649,1939.465,79.359
Germany,2020-05-04,163175,6692,1947.569,79.872
Spain,2019-12-31,0,0,0.0,0.0
Spain,2020-01-01,0,0,0.0,0.0
Spain,2020-01-02,0,0,0.0,0.0
Spain,2020-01-03,0,0,0.0,0.0
Spain,2020-01-04,0,0,0.0,0.0
Spain,2020-01-05,0,0,0.0,0.0
Spain,2020-01-06,0,0,0.0,0.0
Spain,2020-01-07,0,0,0.0,0.0
Spain,2020-01-08,0,0,0.0,0.0
Spain,2020-01-09,0,0,0.0,0.0
Spain,2020-01-10,0,0,0.0,0.0
Spain,2020-01-11,0,0,0.0,0.0
Spain,2020-01-12,0,0,0.0,0.0
Spain,2020-01-13,0,0,0.0,0.0
Spain,2020-01-14,0,0,0.0,0.0
Spain,2020-01-15,0,0,0.0,0.0
Spain,2020-01-16,0,0,0.0,0.0
Spain,2020-01-17,0,0,0.0,0.0
Spain,2020-01-18,0,0,0.0,0.0
Spain,2020-01-19,0,0,0.0,0.0
Spain,2020-01-20,0,0,0.0,0.0
Spain,2020-01-21,0,0,0.0,0.0
Spain,2020-01-22,0,0,0.0,0.0
Spain,2020-01-23,0,0,0.0,0.0
Spain,2020-01-24,0,0,0.0,0.0
Spain,2020-01-25,0,0,0.0,0.0
Spain,2020-01-26,0,0,0.0,0.0
Spain,2020-01-27,0,0,0.0,0.0
Spain,2020-01-28,0,0,0.0,0.0
Spain,2020-01-29,0,0,0.0,0.0
Spain,2020-01-30,0,0,0.0,0.0
Spain,2020-01-31,0,0,0.0,0.0
Spain,2020-02-01,1,0,0.021,0.0
Spain,2020-02-02,1,0,0.021,0.0
Spain,2020-02-03,1,0,0.021,0.0
Spain,2020-02-04,1,0,0.021,0.0
Spain,2020-02-05,1,0,0.021,0.0
Spain,2020-02-06,1,0,0.021,0.0
Spain,2020-02-07,1,0,0.021,0.0
Spain,2020-02-08,1,0,0.021,0.0
Spain,2020-02-09,1,0,0.021,0.0
Spain,2020-02-10,2,0,0.043,0.0
Spain,2020-02-11,2,0,0.043,0.0
Spain,2020-02-12,2,0,0.043,0.0
Spain,2020-02-13,2,0,0.043,0.0
Spain,2020-02-14,2,0,0.043,0.0
Spain,2020-02-15,2,0,0.043,0.0
Spain,2020-02-16,2,0,0.043,0.0
Spain,2020-02-17,2,0,0.043,0.0
Spain,2020-02-18,2,0,0.043,0.0
Spain,2020-02-19,2,0,0.043,0.0
Spain,2020-02-20,2,0,0.043,0.0
Spain,2020-02-21,2,0,0.043,0.0
Spain,2020-02-22,2,0,0.043,0.0
Spain,2020-02-23,2,0,0.043,0.0
Spain,2020-02-24,2,0,0.043,0.0
Spain,2020-02-25,3,0,0.064,0.0
Spain,2020-02-26,7,0,0.15,0.0
Spain,2020-02-27,12,0,0.257,0.0
Spain,2020-02-28,25,0,0.535,0.0
Spain,2020-02-29,34,0,0.727,0.0
Spain,2020-03-01,66,0,1.412,0.0
Spain,2020-03-02,83,0,1.775,0.0
Spain,2020-03-03,114,0,2.438,0.0
Spain,2020-03-04,151,0,3.23,0.0
Spain,2020-03-05,200,1,4.2780000000000005,0.021
Spain,2020-03-06,261,3,5.582000000000001,0.064
Spain,2020-03-07,374,5,7.999,0.107
Spain,2020-03-08,430,5,9.197000000000001,0.107
Spain,2020-03-09,589,5,12.597999999999999,0.107
Spain,2020-03-10,1204,28,25.750999999999998,0.599
